date,Newly infected person,Severely ill,Patients in need of inpatient treatment,Patients scheduled to be hospitalized,Cumulative discharge,Cumulative deaths
2020/5/9,108,267,6250,442,8276,613
2020/5/10,66,249,6074,422,8514,621
2020/5/11,58,243,5914,247,8903,643
2020/5/12,87,259,5162,174,9851,668
2020/5/13,55,245,4732,169,10321,687
2020/5/14,99,237,4339,182,10792,710
2020/5/15,55,232,4025,181,11136,725
2020/5/16,56,230,3787,184,11398,744
2020/5/17,29,228,3667,169,11547,749
2020/5/18,30,213,3400,164,11867,763
2020/5/19,32,210,3009,165,12269,771
2020/5/20,37,195,2799,24,12655,777
2020/5/21,45,176,2495,64,12988,796
2020/5/22,30,174,2293,36,13227,808
2020/5/23,30,168,2130,31,13396,820
2020/5/24,40,165,2111,20,13446,830
2020/5/25,22,155,1939,20,13643,846
2020/5/26,27,147,1788,21,13806,858
2020/5/27,37,136,1637,19,13979,867
2020/5/28,62,131,1556,21,14085,874
2020/5/29,63,123,1466,22,14237,886
2020/5/30,46,119,1452,21,14290,891
2020/5/31,33,115,1436,22,14333,892
2020/6/1,36,113,1341,12,14481,894
2020/6/2,51,101,1272,12,14605,900
2020/6/3,26,102,1207,12,14690,903
2020/6/4,45,98,1141,12,14795,907
2020/6/5,41,99,1064,12,14901,914
2020/6/6,45,98,1042,11,14961,916
2020/6/7,32,99,1060,11,14970,916
2020/6/8,22,92,1028,12,15035,916
2020/6/9,30,91,965,12,15120,919
2020/6/10,36,88,923,12,15200,920
2020/6/11,40,82,854,10,15308,922
2020/6/12,57,76,810,9,15395,924
2020/6/13,43,73,801,6,15451,925
2020/6/14,62,71,819,5,15493,925
2020/6/15,60,80,871,9,15508,927
2020/6/16,42,70,760,6,15657,931
2020/6/17,43,62,712,7,15737,935
2020/6/18,68,62,707,7,15811,935
2020/6/19,54,61,677,7,15880,952
2020/6/20,65,59,711,6,15911,953
2020/6/21,48,59,732,5,15936,953
2020/6/22,40,62,706,7,16007,955
2020/6/23,53,60,698,8,16058,963
2020/6/24,89,58,713,10,16116,967
2020/6/25,79,51,727,7,16188,968
2020/6/26,99,48,757,8,16248,970
2020/6/27,88,45,790,8,16301,970
2020/6/28,111,43,822,8,16353,971
2020/6/29,110,42,869,10,16424,971
2020/6/30,132,40,897,8,16522,973
2020/7/1,125,37,1006,8,16563,974
2020/7/2,194,33,1105,7,16654,975
2020/7/3,249,32,1224,7,16747,976
2020/7/4,268,33,1386,26,16838,976
2020/7/5,195,34,1552,11,16892,976
2020/7/6,174,36,1671,11,16981,977
2020/7/7,203,35,1721,9,17115,979
2020/7/8,203,38,1776,11,17250,980
2020/7/9,352,31,1929,14,17436,981
2020/7/10,418,33,2139,14,17633,981
2020/7/11,374,32,2339,11,17787,981
2020/7/12,390,34,2587,9,17887,981
2020/7/13,246,40,2754,17,18066,981
2020/7/14,326,38,2789,15,18312,983
2020/7/15,438,37,2885,11,18580,984
2020/7/16,619,39,3191,32,18862,984
2020/7/17,588,41,3560,20,19132,984
2020/7/18,654,43,3865,12,19342,984
2020/7/19,501,47,4113,14,19523,984
2020/7/20,405,52,4345,16,19921,987
2020/7/21,618,55,4421,7,20403,988
2020/7/22,792,59,4751,14,20787,989
2020/7/23,966,68,5369,11,21080,991
2020/7/24,766,64,5949,16,21319,992
2020/7/25,796,66,6315,33,21514,995
2020/7/26,834,67,6573,22,21868,995
2020/7/27,583,76,6828,27,22560,997
2020/7/28,971,81,7063,22,23256,1000
2020/7/29,1245,90,7508,26,23928,1003
2020/7/30,1305,87,8062,37,24678,1005
2020/7/31,1575,80,8945,39,25253,1010
2020/8/1,1537,84,9950,38,25839,1011
2020/8/2,1325,83,10330,176,26236,1011
2020/8/3,941,88,9887,1449,26943,1015
2020/8/4,1240,104,11337,433,27772,1021
2020/8/5,1344,116,11881,105,28739,1025
2020/8/6,1479,132,12167,101,29915,1032
2020/8/7,1597,139,12382,181,30961,1036
2020/8/8,1521,156,13011,-21,32059,1039
2020/8/9,1485,162,13633,626,32805,1046
2020/8/10,829,171,13724,701,33722,1051
2020/8/11,691,177,13612,241,34635,1058
2020/8/12,969,203,13289,247,35858,1062
2020/8/13,1175,211,13043,245,37165,1072
2020/8/14,1355,229,12984,307,38600,1084
2020/8/15,1233,232,13084,400,39715,1087
2020/8/16,1015,242,13020,466,40794,1098
2020/8/17,630,243,12778,229,41853,1114
2020/8/18,903,239,12097,241,43379,1127
2020/8/19,1078,237,11702,176,44771,1143
2020/8/20,1176,247,11727,207,45938,1154
2020/8/21,1035,246,11615,182,47045,1168
2020/8/22,985,258,11747,167,47946,1175
2020/8/23,737,262,11731,167,48716,1180
2020/8/24,491,255,11225,182,49794,1195
2020/8/25,709,251,10663,181,51034,1208
2020/8/26,893,243,10323,214,52169,1225
2020/8/27,870,232,10127,257,53318,1237
2020/8/28,869,233,9708,69,54650,1254
2020/8/29,841,237,9705,78,55471,1263
2020/8/30,598,239,9658,72,56109,1278
2020/8/31,430,237,9142,66,57130,1295
2020/9/1,624,228,9111,72,57735,1306
2020/9/2,585,221,8608,80,58827,1318
2020/9/3,654,217,8371,80,59720,1329
2020/9/4,582,214,7965,58,60726,1348
2020/9/5,598,215,7917,16,61357,1356
2020/9/6,447,214,7877,19,61817,1362
2020/9/7,285,207,7449,48,62563,1376
2020/9/8,510,207,7108,42,63381,1392
2020/9/9,507,202,6849,41,64116,1405
2020/9/10,709,195,6771,33,64871,1411
2020/9/11,637,194,6693,40,65561,1422
2020/9/12,639,184,6763,99,66180,1438
2020/9/13,438,190,6849,75,66504,1441
2020/9/14,262,179,6573,69,67073,1450
2020/9/15,530,183,6353,73,67754,1460
2020/9/16,543,172,6179,71,68473,1472
2020/9/17,478,176,6018,62,69117,1481
2020/9/18,569,166,6032,75,69700,1494
2020/9/19,592,165,6027,55,70231,1499
2020/9/20,469,169,6132,58,70597,1499
2020/9/21,306,169,6169,76,70841,1507
2020/9/22,321,170,6126,92,71174,1511
2020/9/23,216,170,5905,45,71699,1519
2020/9/24,475,167,5384,59,72643,1531
2020/9/25,567,160,5265,48,73304,1539
2020/9/26,634,164,5451,51,73739,1544
2020/9/27,478,163,5501,51,74122,1547
2020/9/28,294,165,5379,55,74589,1556
2020/9/29,527,155,5330,55,75151,1563
2020/9/30,569,155,5304,61,75708,1570
2020/10/1,619,149,5326,52,76327,1577
2020/10/2,537,141,5281,44,76913,1589
2020/10/3,562,137,5319,55,77414,1596
2020/10/4,394,135,5406,65,77698,1598
2020/10/5,269,144,5260,75,78148,1601
2020/10/6,495,145,5131,64,78750,1604
2020/10/7,502,147,5056,53,79301,1612
2020/10/8,623,145,5160,58,79807,1615
2020/10/9,594,151,5120,83,80425,1623
2020/10/10,666,149,5292,85,80893,1626
2020/10/11,431,150,5443,75,81182,1628
2020/10/12,272,152,5245,91,81690,1633
2020/10/13,491,154,5162,92,82223,1637
2020/10/14,550,150,5054,81,82899,1645
2020/10/15,703,152,5176,64,83509,1649
2020/10/16,633,152,5205,62,84088,1660
2020/10/17,611,149,5326,68,84535,1669
2020/10/18,422,148,5375,94,84961,1673
2020/10/19,313,146,5174,86,85518,1675
2020/10/20,475,153,5031,78,86100,1678
2020/10/21,611,153,5038,83,86648,1684
2020/10/22,609,154,5071,73,87227,1693
2020/10/23,742,156,5220,66,87765,1705
2020/10/24,712,160,5440,55,88237,1710
2020/10/25,486,163,5507,98,88658,1717
2020/10/26,401,166,5503,69,89092,1724
2020/10/27,646,167,5448,81,89746,1729
2020/10/28,724,162,5642,108,90251,1732
2020/10/29,803,157,5848,89,90811,1743
2020/10/30,767,162,6012,96,91392,1754
2020/10/31,866,161,6247,112,91877,1765
2020/11/1,603,164,6475,116,92300,1773
2020/11/2,480,164,6470,123,92760,1779
2020/11/3,860,166,6635,137,93192,1785
2020/11/4,606,184,6708,159,94003,1793
2020/11/5,1046,190,7076,68,94637,1805
2020/11/6,1137,195,7503,73,95330,1808
2020/11/7,1301,197,7905,86,96057,1811
2020/11/8,934,205,8347,179,96511,1817
2020/11/9,770,209,8703,99,97114,1828
2020/11/10,1276,204,9049,94,97932,1840
2020/11/11,1540,226,9676,110,98819,1850
2020/11/12,1624,231,10244,82,99824,1866
2020/11/13,1703,234,10927,102,100789,1879
2020/11/14,1721,243,11765,108,101632,1882
2020/11/15,1428,251,12363,131,102454,1884
2020/11/16,949,272,12570,138,103406,1902
2020/11/17,1685,276,12982,141,104464,1912
2020/11/18,2173,280,13834,180,105701,1921
2020/11/19,2382,291,14709,102,107148,1942
2020/11/20,2425,313,15629,103,108608,1962
2020/11/21,2570,323,16824,133,109870,1973
2020/11/22,2146,331,17879,144,110970,1980
2020/11/23,1513,345,18393,154,112012,1988
2020/11/24,1219,376,18428,165,113394,2000
2020/11/25,1925,410,18567,219,115032,2021
2020/11/26,2494,435,19107,150,116778,2050
2020/11/27,2510,440,19511,140,118898,2073
2020/11/28,2667,462,20413,149,120530,2105
2020/11/29,2046,472,20916,187,122072,2118
2020/11/30,1425,493,20903,282,124088,2138
2020/12/1,2014,488,20602,223,125897,2171
2020/12/2,2419,497,21046,239,127814,2212
2020/12/3,2505,505,21570,161,129740,2239
2020/12/4,2435,520,21741,129,131995,2282
2020/12/5,2496,519,22251,163,133820,2314
2020/12/6,2010,530,22537,203,135434,2334
2020/12/7,1502,536,22187,268,137516,2381
2020/12/8,2166,555,22412,314,139124,2419
2020/12/9,2801,543,22683,359,141494,2464
2020/12/10,2966,554,23646,332,143491,2501
2020/12/11,2795,578,23867,335,145987,2533
2020/12/12,3010,583,24981,420,147740,2561
2020/12/13,2375,588,25536,557,149391,2584
2020/12/14,1681,592,25093,646,151949,2642
2020/12/15,2400,618,25142,748,153971,2687
2020/12/16,2990,605,25287,1108,156695,2738
2020/12/17,3206,609,25629,1078,159176,2782
2020/12/18,2832,598,26064,932,161686,2827
2020/12/19,3040,593,26743,1048,163702,2872
2020/12/20,2398,603,26816,1289,165873,2899
2020/12/21,1791,620,27147,1269,167693,2943
2020/12/22,2674,619,26863,1307,170458,2993
2020/12/23,3270,644,27077,1302,173205,3049
2020/12/24,3797,644,28154,1029,176103,3104
2020/12/25,3934,654,29278,1075,178482,3154
2020/12/26,3702,659,30369,1190,180882,3212
2020/12/27,2942,661,31098,1290,182947,3251
2020/12/28,2397,675,31694,1308,185223,3305
2020/12/29,3609,668,32477,1414,187739,3348
2020/12/30,3884,681,34037,1473,189695,3413
2020/12/31,4500,716,36052,1619,191949,3459
2021/1/1,3248,711,37187,1360,194650,3513
2021/1/2,3057,714,38031,1343,196693,3547
2021/1/3,3139,731,38729,1293,198874,3598
2021/1/4,3330,771,39905,1050,201606,3654
2021/1/5,4958,784,40908,909,205212,3718
2021/1/6,6066,796,43423,1068,208621,3790
2021/1/7,7793,826,46780,1077,211900,3856
2021/1/8,8045,827,51125,914,215527,3931
2021/1/9,7528,852,55238,1085,218676,3995
2021/1/10,6130,864,58622,1218,221087,4043
2021/1/11,4901,881,61449,1380,223509,4093
2021/1/12,4630,900,62930,1298,227174,4144
2021/1/13,6086,920,63648,1438,231747,4232
2021/1/14,6749,934,65118,1468,236545,4314
2021/1/15,6795,965,66628,1100,242041,4379
2021/1/16,7028,972,68321,1203,246537,4445
2021/1/17,5758,973,69983,1164,250833,4500
2021/1/18,4947,1001,71129,1267,255764,4547
2021/1/19,5355,1014,69352,1280,263026,4646
2021/1/20,5643,1014,66436,1222,271216,4742
2021/1/21,5743,1011,66106,1337,277225,4829
2021/1/22,4821,1009,65152,967,283522,4934
2021/1/23,4711,1007,64535,920,288536,5018
2021/1/24,3988,1017,63663,956,293420,5083
2021/1/25,2760,996,60933,836,299514,5157
2021/1/26,3851,1043,58007,800,306117,5251
2021/1/27,3968,1032,55515,676,312385,5360
2021/1/28,4122,1014,53532,662,318190,5450
2021/1/29,3547,974,51764,473,323518,5544
2021/1/30,3330,973,50422,471,328391,5652
2021/1/31,2673,975,49430,451,332049,5720
2021/2/1,1782,937,46319,441,337295,5792
2021/2/2,2321,897,43743,499,342045,5910
2021/2/3,2648,892,41028,477,347235,6018
2021/2/4,2574,877,38332,393,352368,6133
2021/2/5,2371,815,36288,323,356752,6241
2021/2/6,2277,795,34876,280,360108,6336
2021/2/7,1627,773,33400,296,363110,6393
2021/2/8,1215,759,31536,340,366680,6474
2021/2/9,1568,736,29199,401,370398,6555
2021/2/10,1885,713,27889,364,373314,6676
2021/2/11,1689,701,26993,345,375872,6772
2021/2/12,1297,693,25376,696,378414,6847
2021/2/13,1355,668,24489,870,380730,6910
2021/2/14,1360,658,23374,761,382938,6950
2021/2/15,964,644,22614,681,385577,7013
2021/2/16,1305,607,20331,727,389042,7100
2021/2/17,1443,564,19272,726,391321,7194
2021/2/18,1540,547,18870,750,393318,7272
2021/2/19,1297,526,18336,639,395114,7331
2021/2/20,1228,511,17841,661,396738,7415
2021/2/21,1029,510,17487,671,398066,7472
2021/2/22,739,491,16780,642,399624,7527
2021/2/23,1078,487,16109,632,401195,7582
2021/2/24,923,472,15313,674,403067,7645
2021/2/25,1064,457,14917,740,404392,7720
2021/2/26,1057,440,14463,721,405827,7805
2021/2/27,1208,434,14325,726,407124,7858
2021/2/28,994,436,14013,706,408407,7885
2021/3/1,684,413,13134,676,409917,7931
2021/3/2,887,407,12738,689,411132,7982
2021/3/3,1240,398,12380,680,412572,8050
2021/3/4,1168,388,12244,705,413818,8117
2021/3/5,1145,375,12120,671,415085,8176
2021/3/6,1045,373,12155,679,416050,8225
2021/3/7,1061,380,12154,721,417018,8251
2021/3/8,599,381,11734,705,418046,8296
2021/3/9,1125,364,11581,693,419201,8350
2021/3/10,1309,354,11648,720,420320,8400
2021/3/11,1315,354,11810,719,421391,8449
2021/3/12,1268,337,12058,655,422452,8507
2021/3/13,1317,328,12312,656,423426,8558
2021/3/14,982,327,12279,660,424449,8588
2021/3/15,688,337,12128,659,425341,8620
2021/3/16,1130,335,11964,736,426539,8676
2021/3/17,1520,325,12217,644,427650,8715
2021/3/18,1492,330,12570,696,428677,8756
2021/3/19,1453,332,12849,646,429877,8788
2021/3/20,1517,324,13302,632,430898,8810
2021/3/21,1110,324,13271,643,432017,8833
2021/3/22,817,320,13131,661,433099,8859
2021/3/23,1485,328,13325,687,434195,8906
2021/3/24,1924,325,13833,661,435429,8936
2021/3/25,1914,323,14571,654,436604,8965
2021/3/26,2030,331,15239,632,437918,8996
2021/3/27,2073,341,16162,627,438955,9028
2021/3/28,1753,342,16738,645,440085,9058
2021/3/29,1340,368,17059,647,441351,9083
2021/3/30,2077,382,17535,691,442735,9110
2021/3/31,2832,380,18669,719,444121,9159
2021/4/1,2598,394,20100,734,445420,9182
2021/4/2,2742,408,21409,675,446781,9209
2021/4/3,2755,431,22499,721,448304,9217
2021/4/4,2459,445,23347,769,449835,9227
2021/4/5,1553,451,23703,793,451727,9245
2021/4/6,2652,456,24360,799,453053,9275
2021/4/7,3459,464,25844,842,454710,9297
2021/4/8,3455,483,27362,861,456492,9330
2021/4/9,3511,511,28744,898,458645,9350
2021/4/10,3742,520,29558,911,461377,9379
2021/4/11,2848,563,30327,991,463547,9397
2021/4/12,2100,596,29885,961,466396,9422
2021/4/13,3445,608,30920,1028,468621,9466
2021/4/14,4302,631,32198,1062,471170,9497
2021/4/15,4569,670,34543,1114,473345,9535
2021/4/16,4518,702,36493,975,475966,9581
2021/4/17,4790,723,38600,1077,478373,9619
2021/4/18,4087,738,40425,1125,480632,9638
2021/4/19,2891,769,40714,1159,483631,9668
2021/4/20,4327,791,41907,1194,486479,9707
2021/4/21,5279,805,44048,1253,489177,9761
2021/4/22,5473,816,46115,1355,492392,9797
2021/4/23,5117,837,48065,1122,495734,9851
2021/4/24,5601,864,49674,1259,499095,9910
2021/4/25,4602,898,51167,1330,502221,9969
2021/4/26,3303,916,51606,1393,505850,10001
2021/4/27,4960,953,52439,1404,509501,10052
2021/4/28,5790,951,54098,1623,512983,10104
2021/4/29,5896,978,56169,1718,516466,10191
2021/4/30,4658,1020,57119,1431,520644,10226
2021/5/1,5992,1050,58722,1487,524642,10293
2021/5/2,5880,1084,60156,1915,528470,10358
2021/5/3,4458,1083,61292,1887,532219,10416
2021/5/4,4195,1114,61715,2119,536321,10466
2021/5/5,4052,1098,61716,2308,539944,10513
2021/5/6,4351,1131,62453,2221,543410,10585
2021/5/7,6033,1131,63315,1669,548641,10698
2021/5/8,7244,1144,64966,2112,552740,10819
2021/5/9,6492,1152,67038,2853,556883,10872
2021/5/10,4926,1177,68061,2970,561452,10937
2021/5/11,6236,1189,69255,3114,565876,11060
2021/5/12,7059,1214,70104,3755,571211,11161
2021/5/13,6867,1209,71144,4041,576736,11251
2021/5/14,6268,1231,72760,3293,582055,11361
